Band,Min,Max,Mean,Std,P5,P50,P95,Count
blue,9.999999747378752e-05,1.0,0.12949931621551514,0.1688382625579834,0.014800000004470348,0.07719999551773071,0.5126999616622925,354250744
green,9.999999747378752e-05,1.0,0.1529623419046402,0.16355368494987488,0.024000000208616257,0.10130000114440918,0.5008000135421753,354277907
red,9.999999747378752e-05,1.0,0.1747262328863144,0.171648770570755,0.017899999395012856,0.12700000405311584,0.5041999816894531,354274178
nir,9.999999747378752e-05,1.0,0.253180593252182,0.166631817817688,0.019299998879432678,0.23359999060630798,0.5503999590873718,354217525
swir1,9.999999747378752e-05,1.0,0.23056013882160187,0.1497766524553299,0.008100000210106373,0.21879999339580536,0.5253999829292297,129081565
swir2,9.999999747378752e-05,1.0,0.1887567639350891,0.1344795674085617,0.0072999997064471245,0.17059999704360962,0.4558999836444855,129147957
