Band,Min,Max,Mean,Std,P5,P50,P95,Count
blue,7.495284080505371e-06,1.0,0.1166476160287857,0.1769939512014389,0.013647496700286865,0.0645499974489212,0.5401350259780884,60715738
green,7.495284080505371e-06,1.0,0.14561301469802856,0.16930176317691803,0.024262502789497375,0.09441499412059784,0.5300149917602539,61342065
red,7.495284080505371e-06,1.0,0.1677415370941162,0.17648692429065704,0.020467504858970642,0.117762491106987,0.5449750423431396,60379241
nir,7.495284080505371e-06,1.0,0.2562204599380493,0.1648550033569336,0.027974992990493774,0.23356498777866364,0.5658475160598755,59907663
swir1,7.495284080505371e-06,1.0,0.21607258915901184,0.1411808282136917,0.008230000734329224,0.20265500247478485,0.4994625449180603,60707651
swir2,7.495284080505371e-06,1.0,0.16499167680740356,0.12001731246709824,0.0049574971199035645,0.14828749001026154,0.41014254093170166,61749493
